googleAPI_return_Address,lat,lng
600台灣嘉義市西區仁愛路1號,23.4666367,120.4406522
600台灣嘉義市西區仁愛路1號,23.4666367,120.4406522
600台灣嘉義市西區新榮路1號,23.4689591,120.4451514
600台灣嘉義市西區新榮路1號,23.4689591,120.4451514
600台灣嘉義市西區新榮路1號,23.4689591,120.4451514
600台灣嘉義市西區德福街8-10號,23.4813959,120.4315758
600台灣嘉義市西區國聖四街30號,23.4862529,120.4294016
600台灣嘉義市東區光彩街120號,23.4793585,120.4595519
600台灣嘉義市西區志昇街79號,23.4691128,120.4430855
600台灣嘉義市西區志昇街79號,23.4691128,120.4430855
600台灣嘉義市西區志昇街79號,23.4691128,120.4430855
251台灣新北市淡水區新市一路三段淡水蒙地卡羅大廈,25.1826771,121.4460196
600台灣嘉義市西區永安街331號,23.4703467,120.4464733
600台灣嘉義市西區永安街331號,23.4703467,120.4464733
600台灣嘉義市西區永安街331號,23.4703467,120.4464733
600台灣嘉義市西區永安街331號,23.4703467,120.4464733
600台灣嘉義市西區永安街331號,23.4703467,120.4464733
600台灣嘉義市西區永安街331號,23.4703467,120.4464733
600台灣嘉義市西區永安街331號,23.4703467,120.4464733
600台灣嘉義市西區永安街331號,23.4703467,120.4464733
600台灣嘉義市西區永安街331號,23.4703467,120.4464733
600台灣嘉義市東區文雅街,23.4837986,120.487306
251台灣新北市淡水區新市一路三段淡水蒙地卡羅大廈,25.1826771,121.4460196
251台灣新北市淡水區新市一路三段淡水蒙地卡羅大廈,25.1826771,121.4460196
600台灣嘉義市西區蘭州五街30號,23.4688354,120.4318083
600台灣嘉義市西區國安二街30號,23.4896037,120.4295681
600台灣嘉義市西區竹子腳巷21號,23.4943783,120.3974321
600台灣嘉義市西區永安街357-379號,23.4702701,120.4449216
600台灣嘉義市西區永安街357-379號,23.4702701,120.4449216
600台灣嘉義市西區德安路3號,23.4841059,120.4334466
600台灣嘉義市西區永樂二街76號,23.4747823,120.4219375
600台灣嘉義市西區松江三街120號,23.4928684,120.4415975
600台灣嘉義市東區文雅街,23.4837986,120.487306
600台灣嘉義市西區新榮路1號,23.4689591,120.4451514
600台灣嘉義市西區新榮路1號,23.4689591,120.4451514
600台灣嘉義市東區吳鳳北路195-217號,23.4790096,120.4532609
600台灣嘉義市西區新建街30號,23.4692478,120.4385538
600台灣嘉義市東區民權路10-1號,23.484367,120.465974
600台灣嘉義市東區保愛二街36-82號,23.5019405,120.4541102
600台灣嘉義市東區保愛二街36-82號,23.5019405,120.4541102
600台灣嘉義市東區保愛二街36-82號,23.5019405,120.4541102
600台灣嘉義市東區保愛二街36-82號,23.5019405,120.4541102
600台灣嘉義市東區保愛二街36-82號,23.5019405,120.4541102
600台灣嘉義市東區圓福街118巷2弄108號,23.488141,120.467014
600台灣嘉義市西區新榮路1號,23.4689591,120.4451514
600台灣嘉義市東區興村街60號,23.4549917,120.4570036
600台灣嘉義市東區彌陀路180號,23.4724381,120.4638868
600台灣嘉義市東區保愛二街36-82號,23.5019405,120.4541102
901台灣屏東縣三地門鄉中正路一段56號,22.7135304,120.6493661
600台灣嘉義市東區光正街25號,23.4675718,120.4690616
600台灣嘉義市東區光正街25號,23.4675718,120.4690616
600台灣嘉義市東區吳鳳南路123號,23.4699461,120.4544391
251台灣新北市淡水區新市一路三段淡水蒙地卡羅大廈,25.1826771,121.4460196
600台灣嘉義市西區民生南路99號,23.4711088,120.4472364
600台灣嘉義市東區垂楊路1號,23.474639,120.461449
600台灣嘉義市西區永樂二街58-66號,23.4744718,120.4220219
600台灣嘉義市東區彌陀路241巷1號,23.4682177,120.4657
600台灣嘉義市西區仁愛路159巷22號,23.4689729,120.4422175
600台灣嘉義市西區仁愛路159巷22號,23.4689729,120.4422175
600台灣嘉義市西區仁愛路159巷22號,23.4689729,120.4422175
600台灣嘉義市西區仁愛路159巷22號,23.4689729,120.4422175
600台灣嘉義市西區仁愛路159巷22號,23.4689729,120.4422175
600台灣嘉義市西區仁愛路159巷22號,23.4689729,120.4422175
