年月,房屋類型,地址,屋齡(年),格局,出售樓層/ 總樓層,建物坪數,土地坪數,車位坪數,每坪單價,成交總價
10412(實價),套房,嘉義市嘉義市新民路757巷1~30號,23,1房/1廳/1衛,3 /共5層,11.97,3.47,--,11.3萬,135萬
10412(實價),純土地,何庄段541~570地號,--,0房/0廳/0衛,0 /共0層,--,46.21,--,15萬,693萬
10412(實價),透天厝,嘉義市嘉義市上海路241~270號,22.2,4房/2廳/3衛,1 /共4層,84.57,29.04,--,15.5萬,1308萬
10412(實價),透天厝,嘉義市嘉義市福州七街1~30號,26.1,3房/1廳/3衛,1 /共3層,34.53,20.57,--,20.3萬,700萬
10412(實價),華廈,嘉義市嘉義市自強街195巷31~60號,20.2,3房/2廳/2衛,3 /共7層,24.9,4.13,--,10.4萬,258萬
10412(實價),純土地,車店段車店小段691~720地號,--,0房/0廳/0衛,0 /共0層,--,77.29,--,23.7萬,1833萬
10412(實價),住宅大樓,嘉義市嘉義市自由路481~510號,21.6,3房/2廳/2衛,10 /共16層,36.36,3.05,--,6.7萬,245萬
10412(實價),公寓,嘉義市嘉義市溪興街153巷30弄1~30號,33.1,3房/2廳/2衛,5 /共5層,17.08,5.15,--,5.3萬,90萬
10412(實價),透天厝,嘉義市嘉義市臺林街237巷31~60號,41.2,3房/2廳/2衛,1 /共2層,22.17,15.73,--,10.4萬,230萬
10412(實價),透天厝,嘉義市嘉義市車店街1~30號,0.3,4房/2廳/2衛,1 /共2層,8.98,7.49,--,27.8萬,250萬
10412(實價),住宅大樓,嘉義市嘉義市南京路1~30號,22.4,3房/2廳/2衛,5 /共12層,30.68,4.48,--,11.7萬,360萬
10412(實價),住宅大樓(含車位),嘉義市嘉義市博愛路一段361~390號,22,3房/1廳/2衛,4 /共12層,45.2,16.9,--,15.9萬,720萬
10412(實價),住宅大樓,嘉義市嘉義市彌陀路121~150號,19.8,3房/2廳/1衛,15 /共20層,29.01,2.3,--,9.3萬,270萬
10412(實價),店面(店鋪),嘉義市嘉義市崇文街271~300號,0.2,3房/2廳/5衛,1 /共4層,90.81,31.76,--,19.8萬,1800萬
10412(實價),華廈(含車位),嘉義市嘉義市廣州街91~120號,25.1,3房/2廳/2衛,7 /共7層,54.04,7.4,--,6.5萬,350萬
10412(實價),套房,嘉義市嘉義市中正路391~420號,19.8,1房/0廳/1衛,11 /共11層,9.24,0.35,--,8.7萬,80萬
10412(實價),套房,嘉義市嘉義市中正路391~420號,19.8,1房/0廳/1衛,11 /共11層,8.98,0.42,--,8.9萬,80萬
10412(實價),純土地,車店段151~180地號,--,0房/0廳/0衛,0 /共0層,--,132.5,--,24.7萬,3269萬
10412(實價),套房,嘉義市嘉義市新榮路301~330號,22,1房/1廳/1衛,5 /共8層,8.67,1.56,--,9.2萬,80萬
10412(實價),透天厝,嘉義市嘉義市導民里10鄰崇文街91~120號,41.3,3房/2廳/2衛,1 /共2層,27.64,30.25,--,18.7萬,518萬
10412(實價),純土地,元段二小段241~270地號,--,0房/0廳/0衛,0 /共0層,--,23.6,--,14.3萬,338萬
10412(實價),透天厝,嘉義市嘉義市東義路156巷3弄1~30號,6.1,5房/3廳/4衛,1 /共3層,76.95,61.07,--,14.9萬,1150萬
10412(實價),純土地,下路頭段421~450地號,--,0房/0廳/0衛,0 /共0層,--,40.54,--,19.7萬,800萬
10412(實價),純土地,下路頭段421~450地號,--,0房/0廳/0衛,0 /共0層,--,49.31,--,33.7萬,1660萬
10412(實價),純土地,下路頭段421~450地號,--,0房/0廳/0衛,0 /共0層,--,33.88,--,36.5萬,1238萬
10412(實價),純土地,下路頭段421~450地號,--,0房/0廳/0衛,0 /共0層,--,27.53,--,26.7萬,735萬
10412(實價),純土地,下路頭段421~450地號,--,0房/0廳/0衛,0 /共0層,--,33.88,--,36.5萬,1238萬
10412(實價),純土地,下路頭段421~450地號,--,0房/0廳/0衛,0 /共0層,--,33.88,--,36.5萬,1238萬
10412(實價),純土地,下路頭段421~450地號,--,0房/0廳/0衛,0 /共0層,--,28.13,--,26.3萬,740萬
10412(實價),住宅大樓,嘉義市嘉義市溪興街105巷31~60號,18.9,3房/2廳/2衛,12 /共14層,31.27,3.6,--,8.6萬,270萬
10412(實價),透天厝,嘉義市嘉義市林森東路691巷31~60號,34.8,4房/1廳/2衛,1 /共2層,29.42,24.2,--,11.3萬,332萬
10412(實價),店面(店鋪),嘉義市嘉義市興業西路241~270號,31.1,6房/2廳/2衛,1 /共4層,78.1,29.95,--,30.5萬,2380萬
10412(實價),純土地,新富段五小段1~30地號,--,0房/0廳/0衛,0 /共0層,--,12.1,--,23.4萬,283萬
10412(實價),透天厝,嘉義市嘉義市育人路160巷61~90號,0.7,4房/3廳/5衛,1 /共3層,59.93,38.12,--,16.4萬,980萬
10412(實價),套房,嘉義市嘉義市博愛路二段151~180號,16.7,1房/1廳/1衛,5 /共14層,20.22,2.06,--,10.9萬,220萬
10412(實價),住宅大樓(含車位),嘉義市嘉義市興業西路151~180號,11.1,3房/2廳/2衛,8 /共14層,57.41,10.44,--,9.8萬,560萬
10412(實價),住宅大樓,嘉義市嘉義市興達路481~510號,21.1,3房/2廳/2衛,14 /共16層,38.26,3.85,--,10.1萬,386萬
10412(實價),透天厝,嘉義市嘉義市立仁路121~150號,12.4,4房/2廳/3衛,1 /共4層,43.76,19.06,--,17.8萬,780萬
10412(實價),店面(店鋪),嘉義市嘉義市南京東街1~30號,1,4房/3廳/5衛,1 /共4層,87.27,38.42,--,14.9萬,1300萬
10412(實價),透天厝,嘉義市嘉義市北港路256巷1~30號,43.3,3房/2廳/1衛,1 /共2層,17.88,13.61,--,8.4萬,150萬
10412(實價),純土地,頂庄段301~330地號,--,0房/0廳/0衛,0 /共0層,--,95.29,--,3.9萬,370萬
10412(實價),透天厝,嘉義市嘉義市林森東路684巷31~60號,39.8,3房/2廳/2衛,1 /共1層,14.87,26.02,--,13.4萬,200萬
10412(實價),公寓,嘉義市嘉義市國華街211~240號,29.2,3房/2廳/2衛,5 /共5層,32.18,6.32,--,6.2萬,200萬
10412(實價),純土地,盧厝段331~360地號,--,0房/0廳/0衛,0 /共0層,--,141.27,--,10萬,1412萬
10412(實價),華廈,嘉義市嘉義市南京路20巷31~60號,20.8,3房/2廳/2衛,8 /共10層,39.2,7.11,--,8.5萬,335萬
10412(實價),純土地,湖內段1021~1050地號,--,0房/0廳/0衛,0 /共0層,--,70.94,--,8.5萬,606萬
10412(實價),住宅大樓,嘉義市嘉義市博東路151~180號,17.8,3房/2廳/2衛,8 /共22層,45.69,5.6,--,10.1萬,460萬
10412(實價),純土地,北園段1171~1200地號,--,0房/0廳/0衛,0 /共0層,--,1418.42,--,9.8萬,13870萬
10412(實價),住宅大樓(含車位),嘉義市嘉義市德明路61~90號,20.3,3房/2廳/2衛,9 /共18層,49.56,4.15,--,8.7萬,432萬
10412(實價),華廈,嘉義市嘉義市錦州一街31~60號,24.6,2房/1廳/1衛,4 /共6層,23.24,3.65,--,8.6萬,199萬
10412(實價),住宅大樓,嘉義市嘉義市玉山路158巷91~120號,20.4,0房/0廳/0衛,9 /共12層,20.9,3.02,--,7.7萬,160萬
10412(實價),住宅大樓(含車位),嘉義市嘉義市志昇街1~30號,11.1,3房/2廳/2衛,6 /共14層,55.55,0,--,3.8萬,211萬
10412(實價),透天厝,嘉義市嘉義市廣州街181~210號,26.3,6房/2廳/3衛,1 /共3層,68.69,32.37,--,12.5萬,860萬
10412(實價),純土地,長竹段211~240地號,--,0房/0廳/0衛,0 /共0層,--,40.8,--,12萬,490萬
10412(實價),套房,嘉義市嘉義市光彩街511~540號,22.7,1房/1廳/1衛,3 /共8層,14.32,1.51,--,8.1萬,116萬
10412(實價),透天厝,嘉義市嘉義市西平里12鄰博愛路二段429巷1~30號,41.3,3房/2廳/2衛,1 /共2層,26.34,15.73,--,8.7萬,230萬
