年月,房屋類型,地址,屋齡(年),格局,出售樓層/ 總樓層,建物坪數,土地坪數,車位坪數,每坪單價,成交總價
10408(實價),華廈,嘉義市嘉義市永春一街1~30號,18.1,3房/1廳/1衛,6 /共6層,50.74,10.21,--,5.9萬,300萬
10407(實價),店面(店鋪),嘉義市嘉義市文化路271~300號,0,13房/0廳/14衛,1 /共5層,222.82,63.75,--,34.8萬,7750萬
10407(實價),純土地,竹圍子段31~60地號,--,0房/0廳/0衛,0 /共0層,--,32.67,--,16萬,524萬
10407(實價),透天厝,嘉義市嘉義市大同路492巷1~30號,0.2,4房/2廳/4衛,1 /共3層,56.84,29.52,--,13.2萬,750萬
10407(實價),純土地,太平段31~60地號,--,0房/0廳/0衛,0 /共0層,--,27.53,--,14.5萬,400萬
10407(實價),純土地,下埤段31~60地號,--,0房/0廳/0衛,0 /共0層,--,254.1,--,1.8萬,470萬
10407(實價),純土地,下路頭段421~450地號,--,0房/0廳/0衛,0 /共0層,--,7.87,--,40.5萬,318萬
10407(實價),純土地,下路頭段421~450地號,--,0房/0廳/0衛,0 /共0層,--,6.96,--,40.5萬,281萬
10407(實價),住宅大樓,嘉義市嘉義市忠孝路781~810號,19.8,3房/2廳/2衛,5 /共11層,40.92,6.49,--,8.6萬,350萬
10407(實價),純土地,北湖段421~450地號,--,0房/0廳/0衛,0 /共0層,--,69.87,--,8.5萬,593萬
10407(實價),純土地,北園段1681~1710地號,--,0房/0廳/0衛,0 /共0層,--,256.1,--,8.5萬,2176萬
10407(實價),純土地,北園段1681~1710地號,--,0房/0廳/0衛,0 /共0層,--,69.79,--,8.5萬,593萬
10407(實價),純土地,新厝段1~30地號,--,0房/0廳/0衛,0 /共0層,--,979.5,--,2.2萬,2200萬
10407(實價),公寓,嘉義市嘉義市竹圍路31~60號,10.8,3房/2廳/3衛,1 /共4層,55.61,22.08,--,13.8萬,770萬
10407(實價),透天厝,嘉義市嘉義市大同路438巷1弄1~30號,0.2,4房/2廳/4衛,1 /共4層,69.81,31.58,--,11.5萬,800萬
10407(實價),華廈,嘉義市嘉義市永吉一街61~90號,20.4,3房/2廳/3衛,7 /共7層,35.27,4.79,--,10.5萬,370萬
10407(實價),透天厝,嘉義市嘉義市世賢路四段421~450號,1,4房/2廳/4衛,1 /共4層,78.26,0,--,7.3萬,572萬
10407(實價),透天厝,嘉義市嘉義市世賢路四段421~450號,1,4房/2廳/4衛,1 /共4層,78.7,0,--,7.2萬,567萬
10407(實價),透天厝,嘉義市嘉義市世賢路四段421~450號,1,5房/2廳/5衛,1 /共4層,78.26,0,--,7.3萬,572萬
10407(實價),透天厝,嘉義市嘉義市世賢路四段421~450號,1,5房/2廳/5衛,1 /共4層,78.27,0,--,7.3萬,572萬
10407(實價),純土地,下路頭段391~420地號,--,0房/0廳/0衛,0 /共0層,--,34.73,--,30.1萬,1044萬
10407(實價),透天厝,嘉義市嘉義市信義路55巷1~30號,29.1,4房/3廳/3衛,1 /共2層,31.81,22.08,--,13.4萬,425萬
10407(實價),店面(店鋪),嘉義市嘉義市新生路811~840號,0.1,4房/3廳/3衛,3 /共3層,64.65,31.76,--,54.1萬,3500萬
10407(實價),店面(店鋪),嘉義市嘉義市新生路811~840號,0.1,4房/3廳/3衛,3 /共3層,65.84,32.37,--,57.7萬,3800萬
10407(實價),店面(店鋪),嘉義市嘉義市新生路811~840號,0.1,4房/3廳/3衛,2 /共3層,63.06,0,--,5.2萬,330萬
10407(實價),透天厝,嘉義市嘉義市義教街731巷31~60號,0.1,9房/0廳/9衛,1 /共3層,76.9,0,--,5.7萬,440萬
10407(實價),住宅大樓,嘉義市嘉義市忠孝路781~810號,19.8,3房/2廳/2衛,6 /共11層,26.8,4.24,--,9.3萬,250萬
10407(實價),純土地,北園段241~270地號,--,0房/0廳/0衛,0 /共0層,--,1148.01,--,0.8萬,888萬
10407(實價),透天厝,嘉義市嘉義市溪興街21巷2弄1~30號,10.2,4房/2廳/4衛,1 /共4層,61.52,31.31,--,14萬,860萬
10407(實價),透天厝,嘉義市嘉義市自由路331~360號,0.1,3房/2廳/3衛,1 /共4層,73.77,32.07,--,19.1萬,1410萬
10407(實價),透天厝,嘉義市嘉義市自由路361~390號,0.1,5房/3廳/4衛,1 /共4層,106.8,43.86,--,19.2萬,2050萬
10407(實價),透天厝,嘉義市嘉義市自由路331~360號,0.1,4房/3廳/3衛,1 /共4層,68.01,36.3,--,21.4萬,1455萬
10407(實價),透天厝,嘉義市嘉義市自由路331~360號,0.1,4房/3廳/3衛,1 /共4層,79.01,36.3,--,20萬,1580萬
10407(實價),純土地,檜段四小段31~60地號,--,0房/0廳/0衛,0 /共0層,--,36.91,--,17.9萬,660萬
10407(實價),透天厝,嘉義市嘉義市玉山路956巷15弄91~120號,0.1,3房/3廳/4衛,1 /共3層,53.3,30.18,--,11.3萬,600萬
10407(實價),透天厝,嘉義市嘉義市玉山路956巷15弄61~90號,0.1,4房/3廳/4衛,1 /共3層,50.34,30.37,--,12.5萬,630萬
10407(實價),透天厝,嘉義市嘉義市玉山路956巷15弄61~90號,0.1,4房/3廳/4衛,1 /共3層,53.3,30.4,--,12萬,642萬
10407(實價),純土地,民族段二小段1~30地號,--,0房/0廳/0衛,0 /共0層,--,17.85,--,13.6萬,241萬
10407(實價),華廈(含車位),嘉義市嘉義市永福三街1~30號,22.4,2房/2廳/1衛,6 /共7層,32.84,5.06,--,9.7萬,320萬
10407(實價),透天厝,嘉義市嘉義市福州三街31~60號,0.6,6房/2廳/6衛,1 /共4層,98.08,39.93,--,20.6萬,2020萬
10407(實價),純土地,西門段一小段121~150地號,--,0房/0廳/0衛,0 /共0層,--,5.52,--,16.3萬,90萬
10407(實價),純土地,何庄段541~570地號,--,0房/0廳/0衛,0 /共0層,--,72.26,--,6.6萬,480萬
10407(實價),透天厝,嘉義市嘉義市博愛路一段361~390號,20.8,6房/3廳/6衛,1 /共5層,34.97,15.13,--,20萬,700萬
10407(實價),純土地,興村段361~390地號,--,0房/0廳/0衛,0 /共0層,--,33.88,--,0.6萬,20萬
10407(實價),純土地,興村段361~390地號,--,0房/0廳/0衛,0 /共0層,--,342.73,--,0.6萬,204萬
10407(實價),套房,嘉義市嘉義市玉山路158巷91~120號,20,1房/1廳/1衛,11 /共12層,11.92,1.75,--,8.6萬,102萬
10407(實價),透天厝,嘉義市嘉義市崇文街241~270號,8.5,5房/3廳/5衛,1 /共4層,85.5,29.85,--,19.9萬,1700萬
10407(實價),華廈,嘉義市嘉義市林森東路211~240號,25.5,4房/2廳/2衛,5 /共7層,45.25,9.79,--,9.5萬,430萬
10407(實價),純土地,埤子頭段391~420地號,--,0房/0廳/0衛,0 /共0層,--,13.92,--,6萬,83萬
10407(實價),純土地,埤子頭段391~420地號,--,0房/0廳/0衛,0 /共0層,--,9.08,--,2萬,18萬
10407(實價),透天厝,嘉義市嘉義市玉山路956巷15弄121~150號,0.1,4房/3廳/4衛,1 /共3層,59.42,40.45,--,12.3萬,730萬
10407(實價),透天厝,嘉義市嘉義市自由路331~360號,0.1,3房/2廳/3衛,1 /共4層,61.05,26.92,--,19萬,1160萬
10407(實價),店面(店鋪),嘉義市嘉義市力行街1~30號,20.7,6房/2廳/4衛,#NAME?,105.32,20.27,--,8.5萬,900萬
10407(實價),住宅大樓,嘉義市嘉義市興業西路121~150號,10.7,3房/2廳/2衛,10 /共14層,57.07,9.46,--,10.2萬,580萬
10407(實價),透天厝,嘉義市嘉義市林森東路451~480號,10.3,4房/2廳/3衛,1 /共5層,77.69,47.46,--,12.4萬,960萬
10407(實價),透天厝,嘉義市嘉義市忠孝路181~210號,20.7,4房/2廳/3衛,1 /共5層,71.9,23.6,--,17.4萬,1250萬
10407(實價),住宅大樓,嘉義市嘉義市彌陀路151~180號,19.3,4房/2廳/2衛,12 /共20層,48.51,3.78,--,8.2萬,398萬
10407(實價),透天厝,嘉義市嘉義市大同路438巷1弄1~30號,0.2,5房/2廳/6衛,1 /共4層,69.87,32.52,--,12.2萬,850萬
10407(實價),透天厝,嘉義市嘉義市大同路492巷1~30號,0.2,3房/2廳/4衛,1 /共3層,58.72,32.36,--,12.9萬,755萬
10407(實價),透天厝,嘉義市嘉義市義教街731巷31~60號,0.1,4房/1廳/5衛,1 /共3層,63.03,28.44,--,21.6萬,1360萬
10407(實價),透天厝,嘉義市嘉義市義教街731巷31~60號,0.1,4房/1廳/5衛,1 /共3層,62.15,27.83,--,21.9萬,1360萬
10407(實價),透天厝,嘉義市嘉義市五福街203巷31~60號,37.5,3房/2廳/2衛,1 /共2層,26.32,21.78,--,6.1萬,160萬
10407(實價),住宅大樓,嘉義市嘉義市興達路541~570號,21.3,3房/1廳/2衛,10 /共12層,43.88,5.12,--,7.9萬,347萬
10407(實價),純土地,中庄段361~390地號,--,0房/0廳/0衛,0 /共0層,--,52.33,--,76.8萬,4019萬
10407(實價),店面(店鋪),嘉義市嘉義市新生路811~840號,0.1,2房/1廳/3衛,1 /共3層,88.83,0,--,5.3萬,469萬
10407(實價),透天厝,嘉義市嘉義市義教街731巷31~60號,0.1,4房/1廳/5衛,1 /共3層,62.15,27.83,--,20.7萬,1288萬
10407(實價),透天厝,嘉義市嘉義市吳鳳南路49巷1~30號,46.2,4房/2廳/2衛,1 /共2層,29.29,24.81,--,17.1萬,500萬
10407(實價),純土地,北園段481~510地號,--,0房/0廳/0衛,0 /共0層,--,1658.31,--,1萬,1650萬
10407(實價),透天厝,嘉義市嘉義市仁愛路91~120號,30.5,4房/2廳/3衛,1 /共3層,55.85,26.92,--,15.4萬,860萬
10407(實價),純土地,北湖段331~360地號,--,0房/0廳/0衛,0 /共0層,--,127.08,--,12.2萬,1550萬
10407(實價),住宅大樓(含車位),嘉義市嘉義市興達路691~720號,20.6,3房/2廳/2衛,8 /共14層,38.97,4.69,--,8.5萬,330萬
10407(實價),住宅大樓,嘉義市嘉義市溪興街91~120號,22.6,4房/1廳/2衛,9 /共16層,61.25,5.08,--,5.4萬,330萬
10407(實價),住宅大樓,嘉義市嘉義市仁愛路331~360號,19.5,1房/0廳/1衛,12 /共14層,20.22,1.19,--,6.3萬,127萬
10407(實價),住宅大樓(含車位),嘉義市嘉義市雅竹路1~30號,7.4,2房/2廳/2衛,4 /共11層,40.18,7.34,--,16.9萬,680萬
10407(實價),透天厝,嘉義市嘉義市保仁三街162巷1~30號,41.8,3房/2廳/2衛,1 /共2層,18.51,15.43,--,3.5萬,65萬
10407(實價),華廈,嘉義市嘉義市永康三街1~30號,23.4,2房/1廳/1衛,2 /共6層,19,4.2,--,7.9萬,150萬
10407(實價),純土地,湖內段1381~1410地號,--,0房/0廳/0衛,0 /共0層,--,269.53,--,11.6萬,3120萬
10407(實價),純土地,北園段241~270地號,--,0房/0廳/0衛,0 /共0層,--,868.07,--,0.8萬,727萬
10407(實價),純土地,北園段241~270地號,--,0房/0廳/0衛,0 /共0層,--,868.07,--,0.8萬,694萬
10407(實價),純土地,北園段241~270地號,--,0房/0廳/0衛,0 /共0層,--,868.07,--,0.8萬,677萬
10407(實價),華廈(含車位),嘉義市嘉義市大同路451~480號,20.9,3房/2廳/2衛,5 /共8層,50.37,7.08,--,9.1萬,460萬
10407(實價),華廈(含車位),嘉義市嘉義市興仁街38巷61~90號,20.6,3房/2廳/2衛,4 /共9層,40.84,10.01,--,8.4萬,345萬
10407(實價),透天厝,嘉義市嘉義市吳鳳南路61~90號,56,2房/2廳/1衛,1 /共1層,13.4,24.5,--,62.2萬,833萬
10407(實價),透天厝(含車位),嘉義市嘉義市大富西街31~60號,10.6,4房/3廳/3衛,1 /共3層,50.39,30.13,3.78,14.9萬,750萬
10407(實價),公寓,嘉義市嘉義市溪興街181~210號,32.6,2房/1廳/1衛,4 /共5層,16.64,4.84,--,8.3萬,138萬
10407(實價),華廈,嘉義市嘉義市遠東街151~180號,22.2,1房/1廳/1衛,7 /共9層,12.84,1.36,--,10.8萬,138萬
10407(實價),住宅大樓,嘉義市嘉義市小雅路181~210號,22.1,3房/2廳/2衛,4 /共16層,33.7,4.03,--,6.8萬,230萬
10407(實價),華廈,嘉義市嘉義市泰瑞二街61~90號,22.9,3房/2廳/2衛,4 /共7層,35.48,6.4,--,8.7萬,310萬
10407(實價),住宅大樓,嘉義市嘉義市友孝路271~300號,15.7,3房/2廳/2衛,10 /共12層,28.69,3.48,--,11.3萬,325萬
10407(實價),華廈,嘉義市嘉義市里2鄰中山路1~30號,35.2,2房/1廳/1衛,7 /共7層,20.69,4.29,--,8萬,165萬
10407(實價),華廈,嘉義市嘉義市文雅街140巷1~30號,19.1,4房/2廳/3衛,1 /共9層,64.49,10.51,--,10.3萬,666萬
10407(實價),套房(含車位),嘉義市嘉義市友愛路541~570號,20,1房/1廳/1衛,9 /共14層,17.95,3.28,--,7萬,125萬
10407(實價),華廈,嘉義市嘉義市成功街31~60號,32.5,4房/2廳/2衛,2 /共6層,41.45,9.86,--,8.2萬,340萬
10407(實價),透天厝,嘉義市嘉義市大聖北街91~120號,1.2,4房/2廳/3衛,1 /共4層,76.63,44.78,--,16.7萬,1280萬
10407(實價),套房,嘉義市嘉義市小雅路331~360號,22.1,1房/1廳/1衛,4 /共12層,8.5,1.09,--,6.3萬,53萬
10407(實價),住宅大樓,嘉義市嘉義市小雅路181~210號,22.1,3房/2廳/2衛,6 /共16層,30.45,3.64,--,8.9萬,270萬
10407(實價),透天厝,嘉義市嘉義市自治里16鄰西榮街151~180號,41.2,6房/2廳/3衛,1 /共3層,58.06,12.23,--,10萬,580萬
10407(實價),純土地,南門段三小段1~30地號,--,0房/0廳/0衛,0 /共0層,--,16.03,--,74.8萬,1200萬
10407(實價),純土地,何庄段871~900地號,--,0房/0廳/0衛,0 /共0層,--,44.2,--,4.8萬,210萬
10407(實價),住宅大樓,嘉義市嘉義市博愛路一段361~390號,21.6,3房/2廳/2衛,12 /共12層,32.1,4.35,--,7.2萬,230萬
10407(實價),公寓,嘉義市嘉義市民權路61~90號,34.8,2房/1廳/1衛,4 /共5層,18.4,7.38,--,9萬,165萬
10407(實價),純土地,大溪段391~420地號,--,0房/0廳/0衛,0 /共0層,--,5.33,--,7.6萬,40萬
10407(實價),住宅大樓,嘉義市嘉義市友愛路481~510號,15.7,3房/2廳/2衛,10 /共12層,34.32,3.75,--,9萬,310萬
10407(實價),華廈,嘉義市嘉義市世賢路一段1~30號,22.5,3房/2廳/2衛,5 /共8層,42.9,7.46,--,10.5萬,450萬
10407(實價),透天厝,嘉義市嘉義市西區大統路110巷1~30號,0.2,4房/2廳/5衛,1 /共4層,64.83,36.11,--,19.4萬,1260萬
10407(實價),透天厝,嘉義市嘉義市西區大統路110巷1~30號,0.2,4房/2廳/4衛,1 /共4層,63.62,34.9,--,18.5萬,1180萬
10407(實價),透天厝,嘉義市嘉義市西區大統路110巷1~30號,0.2,4房/2廳/4衛,1 /共4層,61.2,33.39,--,17.6萬,1080萬
10407(實價),透天厝,嘉義市嘉義市西區大統路110巷1~30號,0.2,5房/2廳/4衛,1 /共4層,59.08,33.09,--,17.6萬,1038萬
10407(實價),透天厝,嘉義市嘉義市成功街1~30號,25.4,6房/2廳/6衛,1 /共3層,61.43,27.23,--,17.1萬,1050萬
10407(實價),透天厝,嘉義市嘉義市五福街203巷1~30號,37.5,2房/1廳/2衛,1 /共2層,26.8,21.78,--,13.1萬,350萬
10407(實價),透天厝,嘉義市嘉義市杭州三街1~30號,27,7房/3廳/4衛,1 /共5層,91.6,24.81,--,13.4萬,1230萬
10407(實價),華廈,嘉義市嘉義市泰瑞二街61~90號,22.9,3房/2廳/2衛,2 /共7層,34.91,6.24,--,9.2萬,321萬
10407(實價),華廈,嘉義市嘉義市盧厝91~120號,25.3,3房/2廳/2衛,7 /共7層,36.85,7.64,--,7.3萬,270萬
10407(實價),純土地,盧厝段241~270地號,--,0房/0廳/0衛,0 /共0層,--,30.86,--,32.1萬,990萬
10407(實價),華廈,嘉義市嘉義市自強街195巷31~60號,24.1,4房/2廳/2衛,4 /共7層,42.56,97.29,--,8.5萬,360萬
10407(實價),公寓,嘉義市嘉義市宣信街256巷1~30號,30.2,3房/1廳/1衛,1 /共5層,32.1,9.45,--,9.3萬,300萬
10407(實價),純土地,盧東段181~210地號,--,0房/0廳/0衛,0 /共0層,--,11.21,--,10萬,112萬
10407(實價),住宅大樓,嘉義市嘉義市義教街601~630號,21,3房/2廳/2衛,1 /共11層,58.76,9.44,--,9.1萬,532萬
10407(實價),透天厝,嘉義市嘉義市蘭州五街61~90號,29.3,4房/2廳/3衛,1 /共2層,32.69,26.92,--,16.2萬,530萬
10407(實價),透天厝,嘉義市嘉義市大同路481~510號,0.2,4房/2廳/3衛,1 /共4層,66.61,32.09,--,13.9萬,925萬
10407(實價),純土地,北園段691~720地號,--,0房/0廳/0衛,0 /共0層,--,100.05,--,1.2萬,120萬
10407(實價),住宅大樓,嘉義市嘉義市南京路61~90號,21.7,2房/1廳/2衛,1 /共12層,41.11,4.11,--,12.3萬,505萬
10407(實價),透天厝,嘉義市嘉義市大同路481~510號,0.2,4房/2廳/3衛,1 /共4層,63.58,26.08,--,14.4萬,915萬
10407(實價),透天厝,嘉義市嘉義市大同路481~510號,0.2,4房/2廳/4衛,1 /共4層,65.32,32.66,--,14萬,915萬
10407(實價),住宅大樓(含車位),嘉義市嘉義市興業西路121~150號,10.7,3房/2廳/2衛,11 /共14層,28.29,4.48,--,9.5萬,270萬
10407(實價),透天厝,嘉義市嘉義市大同路492巷1~30號,0.2,4房/2廳/4衛,1 /共3層,65.81,33.86,--,11.9萬,780萬
10407(實價),透天厝,嘉義市嘉義市大同路492巷1~30號,0.2,4房/2廳/4衛,1 /共3層,60.34,33.66,--,12.4萬,750萬
10407(實價),透天厝,嘉義市嘉義市大同路492巷1~30號,0.2,4房/2廳/4衛,1 /共3層,58.57,32.36,--,12.9萬,755萬
10407(實價),透天厝,嘉義市嘉義市大同路438巷1弄1~30號,0.2,4房/2廳/4衛,1 /共4層,55.53,26.53,--,14萬,780萬
10407(實價),華廈,嘉義市嘉義市忠孝路571~600號,23.7,2房/1廳/1衛,6 /共6層,17.57,4.34,--,10.2萬,180萬
10407(實價),華廈,嘉義市嘉義市北社尾路1~30號,22.2,4房/2廳/2衛,4 /共10層,46.77,6.95,--,7.8萬,365萬
10407(實價),套房,嘉義市嘉義市金龍街31~60號,21.6,1房/1廳/1衛,7 /共7層,14.22,2.62,--,10.5萬,150萬
10407(實價),透天厝,嘉義市嘉義市日新街218巷31~60號,1.7,5房/2廳/4衛,1 /共4層,85.05,70.86,--,21.2萬,1800萬
10407(實價),住宅大樓(含車位),嘉義市嘉義市忠孝路781~810號,19.8,3房/2廳/2衛,8 /共11層,43.56,6.77,--,7.2萬,315萬
10407(實價),透天厝,嘉義市嘉義市潭頂路130巷1~30號,1.8,5房/1廳/4衛,1 /共3層,84.84,53.05,--,19.2萬,1625萬
10407(實價),華廈,嘉義市嘉義市自強街195巷1~30號,24.7,3房/2廳/2衛,6 /共8層,35.36,5.65,--,8.4萬,298萬
10407(實價),透天厝,嘉義市嘉義市軍輝路271~300號,0.2,4房/2廳/4衛,1 /共4層,69.71,43.22,--,20.4萬,1425萬
10407(實價),透天厝(含車位),嘉義市嘉義市永樂二街121~150號,0.4,6房/2廳/5衛,1 /共4層,123.21,69.27,11.34,25.2萬,3100萬
10407(實價),純車位(含車位),嘉義市嘉義市德惠街31~60號,21.2,0房/0廳/0衛,#NAME?,8.38,0.69,--,0萬,34萬
10407(實價),純車位(含車位),嘉義市嘉義市德惠街31~60號,21.2,0房/0廳/0衛,#NAME?,8.38,0.69,--,0萬,61萬
10407(實價),華廈,嘉義市嘉義市文化路631~660號,22.2,3房/1廳/2衛,4 /共7層,25.79,4.68,--,8.3萬,215萬
10407(實價),住宅大樓,嘉義市嘉義市南京路61~90號,21.7,4房/2廳/2衛,5 /共12層,45.42,4.49,--,8.8萬,400萬
10407(實價),辦公商業大樓,嘉義市嘉義市文化路151~180號,19.3,0房/0廳/0衛,1 /共11層,6.5,1.95,--,10.5萬,68萬
10407(實價),華廈,嘉義市嘉義市林森東路211巷1~30號,25.5,4房/2廳/2衛,3 /共7層,46.52,10.11,--,10.5萬,488萬
10407(實價),透天厝,嘉義市嘉義市垂楊路151~180號,35.9,4房/2廳/2衛,1 /共2層,35.43,32.37,--,16.9萬,600萬
10407(實價),純土地,北園段1681~1710地號,--,0房/0廳/0衛,0 /共0層,--,42.01,--,8萬,336萬
10407(實價),透天厝,嘉義市嘉義市北港路271巷1~30號,7.6,5房/3廳/5衛,1 /共3層,60.08,28.53,--,17.5萬,1050萬
10407(實價),住宅大樓,嘉義市嘉義市保建街31~60號,22.1,3房/2廳/2衛,9 /共12層,36.81,6.2,--,8.4萬,310萬
10407(實價),純土地,民族段三小段31~60地號,--,0房/0廳/0衛,0 /共0層,--,20.27,--,19萬,385萬
10407(實價),店面(店鋪),嘉義市嘉義市興業西路391~420號,29.4,4房/3廳/4衛,1 /共4層,88.06,29.04,--,21.8萬,1920萬
10407(實價),華廈(含車位),嘉義市嘉義市建成街181~210號,24,1房/1廳/1衛,5 /共6層,21.11,3.39,--,8.3萬,176萬
10407(實價),華廈(含車位),嘉義市嘉義市永康二街31~60號,23.6,3房/1廳/2衛,7 /共7層,42.86,6.49,--,7.8萬,336萬
10407(實價),透天厝,嘉義市嘉義市保仁三街162巷1弄1~30號,41.8,3房/2廳/2衛,1 /共2層,18.63,15.43,--,8萬,150萬
10407(實價),住宅大樓,嘉義市嘉義市蘭井街151~180號,22.4,2房/1廳/1衛,7 /共14層,27.64,3.96,--,9.7萬,268萬
10407(實價),透天厝,嘉義市嘉義市後厝仔1~30號,33.6,3房/2廳/2衛,1 /共2層,28.04,23.29,--,16.3萬,458萬
10407(實價),透天厝,嘉義市嘉義市國聖四街31~60號,20.3,5房/2廳/4衛,1 /共5層,86.94,30.55,--,8.1萬,700萬
10407(實價),純土地,下路頭段721~750地號,--,0房/0廳/0衛,0 /共0層,--,0.91,--,5.5萬,5萬
10407(實價),透天厝,嘉義市嘉義市金龍街181~210號,1.8,5房/2廳/4衛,1 /共3層,63.8,31.76,--,28.2萬,1800萬
10407(實價),套房,嘉義市嘉義市光彩街511~540號,22.3,1房/0廳/1衛,5 /共8層,14.05,1.51,--,7.1萬,100萬
10407(實價),住宅大樓,嘉義市嘉義市八德路301~330號,21,3房/2廳/2衛,7 /共12層,73.99,6.9,--,6.7萬,495萬
10407(實價),透天厝,嘉義市嘉義市彌陀路225巷31~60號,36,3房/2廳/2衛,1 /共2層,31.21,25.41,--,11.2萬,350萬
10407(實價),公寓,嘉義市嘉義市玉山路251巷37弄1~30號,22.7,3房/2廳/2衛,5 /共5層,34.91,10.42,--,5.7萬,200萬
10407(實價),透天厝,嘉義市嘉義市北鎮街148巷1~30號,43.6,2房/2廳/1衛,1 /共1層,15.72,14.22,--,9.9萬,156萬
10407(實價),店面(店鋪),嘉義市嘉義市彌陀路151~180號,19.3,3房/2廳/2衛,1 /共20層,50.38,4.44,--,9.5萬,480萬
10407(實價),透天厝,嘉義市嘉義市芳安路349巷1~30號,55.2,2房/1廳/1衛,1 /共1層,11.58,14.52,--,9.5萬,110萬
10407(實價),住宅大樓(含車位),嘉義市嘉義市博東路151~180號,17.3,4房/2廳/2衛,10 /共22層,54.76,5.6,4.54,8.3萬,455萬
10407(實價),純土地,港子坪段211~240地號,--,0房/0廳/0衛,0 /共0層,--,133.4,--,18.5萬,2467萬
10407(實價),純土地,港子坪段211~240地號,--,0房/0廳/0衛,0 /共0層,--,1.21,--,18.5萬,22萬
10407(實價),住宅大樓,嘉義市嘉義市蘭井街151~180號,22.4,5房/0廳/5衛,12 /共14層,42.62,6.08,--,8.8萬,375萬
10407(實價),住宅大樓,嘉義市嘉義市忠孝路781~810號,19.8,2房/2廳/1衛,7 /共11層,27.7,4.24,--,9萬,248萬
10407(實價),住宅大樓,嘉義市嘉義市大雅路二段433巷28弄31~60號,20.5,1房/1廳/1衛,7 /共12層,23.57,2.39,--,10.6萬,250萬
10407(實價),純土地,埤子頭段新厝小段631~660地號,--,0房/0廳/0衛,0 /共0層,--,71.69,--,25.9萬,1860萬
10407(實價),純土地,埤子頭段新厝小段661~690地號,--,0房/0廳/0衛,0 /共0層,--,118.58,--,26萬,3077萬
10407(實價),透天厝,嘉義市嘉義市成功東街1巷1~30號,36.7,4房/2廳/1衛,1 /共2層,22.16,24.05,--,16.2萬,360萬
10407(實價),華廈,嘉義市嘉義市玉康路391~420號,23.2,3房/1廳/2衛,1 /共7層,39.55,6.79,--,10.1萬,400萬
10407(實價),透天厝,嘉義市嘉義市重慶六街120巷1~30號,1.3,4房/2廳/5衛,1 /共3層,74.12,0,--,4.9萬,360萬
10407(實價),純土地,大溪段511~540地號,--,0房/0廳/0衛,0 /共0層,--,109.11,--,5萬,550萬
10407(實價),華廈,嘉義市嘉義市國安三街1~30號,22.5,3房/2廳/2衛,5 /共7層,41.06,7.34,--,9.3萬,380萬
10407(實價),純土地,大溪段751~780地號,--,0房/0廳/0衛,0 /共0層,--,78.09,--,3.1萬,242萬
10407(實價),華廈,嘉義市嘉義市自強街195巷1~30號,24.7,3房/2廳/2衛,2 /共8層,28.73,4.04,--,6.6萬,190萬
10407(實價),純土地,北園段1531~1560地號,--,0房/0廳/0衛,0 /共0層,--,24.8,--,3.5萬,88萬
10407(實價),華廈,嘉義市嘉義市南京路61~90號,21.7,2房/1廳/1衛,5 /共12層,20.4,2.07,--,11.3萬,230萬
10407(實價),華廈,嘉義市嘉義市垂楊路631~660號,31,2房/1廳/1衛,7 /共10層,17.65,1.77,--,8.2萬,145萬
10407(實價),華廈,嘉義市嘉義市國聖四街31~60號,18,3房/2廳/2衛,7 /共9層,40.54,6.92,--,7.9萬,320萬
10407(實價),透天厝,嘉義市嘉義市西區國華里7鄰民權路421~450號,35.8,4房/3廳/4衛,1 /共5層,127.93,36,--,17.2萬,2200萬
10407(實價),純土地,盧厝段181~210地號,--,0房/0廳/0衛,0 /共0層,--,95.89,--,4.4萬,420萬
10407(實價),華廈(含車位),嘉義市嘉義市自強街195巷31~60號,19.8,2房/1廳/1衛,6 /共7層,24.9,4.13,--,8.4萬,210萬
10407(實價),透天厝,嘉義市嘉義市啟明路241~270號,38.5,4房/2廳/3衛,1 /共3層,43.23,20.57,--,34萬,1470萬
10407(實價),透天厝,嘉義市嘉義市五顯街93巷1~30號,29.8,2房/1廳/1衛,1 /共2層,15.59,15.13,--,18.6萬,290萬
10407(實價),住宅大樓,嘉義市嘉義市小雅路181~210號,22.1,3房/2廳/2衛,11 /共16層,37.1,4.43,--,6.6萬,246萬
10407(實價),住宅大樓,嘉義市嘉義市興業東路301~330號,29.2,3房/2廳/2衛,5 /共10層,47.36,7.35,--,8萬,380萬
10407(實價),透天厝,嘉義市嘉義市玉山路956巷15弄91~120號,0.1,4房/3廳/4衛,1 /共3層,53.3,30.96,--,11.4萬,610萬
10407(實價),透天厝,嘉義市嘉義市玉山路956巷15弄91~120號,0.1,3房/3廳/4衛,1 /共3層,53.3,31.19,--,12.1萬,645萬
10407(實價),透天厝,嘉義市嘉義市玉山路956巷15弄91~120號,0.1,4房/3廳/4衛,1 /共3層,53.3,31.38,--,12.3萬,657萬
10407(實價),透天厝,嘉義市嘉義市玉山路956巷15弄91~120號,0.1,3房/3廳/4衛,1 /共3層,51.57,30.92,--,13萬,672萬
10407(實價),透天厝,嘉義市嘉義市玉山路956巷15弄91~120號,0.1,2房/3廳/3衛,1 /共3層,53.3,30.25,--,12.6萬,669萬
10407(實價),透天厝,嘉義市嘉義市玉山路956巷15弄91~120號,0.1,4房/3廳/4衛,1 /共3層,53.3,30.14,--,11.3萬,600萬
