Test,orgin,googleAPI_return_Address,lat,lng,street
透天厝,嘉義市嘉義市永樂三街1~30號,600台灣嘉義市西區永樂三街1號,23.4748909,120.4229093,港坪里
住宅大樓(含車位),嘉義市嘉義市林森東路721~750號,600台灣嘉義市東區林森東路750號,23.4923366,120.4778693,圳頭里
住宅大樓,嘉義市嘉義市保建街31~60號,600台灣嘉義市東區保建街60號,23.5006199,120.4530035,後湖里
住宅大樓(含車位),嘉義市嘉義市四維路91~120號,600台灣嘉義市西區四維路120號,23.4804893,120.4259844,福安里
套房,嘉義市嘉義市文雅街116巷1~30號,600台灣嘉義市東區文雅街140巷11號,23.4840615,120.4853228,文雅里
華廈(含車位),嘉義市嘉義市林森東路211巷1~30號,600台灣嘉義市東區林森東路269巷1弄30號,23.4901012,120.4654374,新店里
透天厝,嘉義市嘉義市保安二路91~120號,600台灣嘉義市西區保安二路91號,23.4917614,120.4384446,新厝里
透天厝,嘉義市嘉義市芳安路17巷241~270號,600台灣嘉義市東區芳安路17巷241號,23.4669184,120.4650729,芳草里
透天厝,嘉義市嘉義市北鎮街121~150號,600台灣嘉義市西區北鎮街150號,23.4858329,120.4316685,竹圍里
透天厝,嘉義市嘉義市文雅街331~360號,600台灣嘉義市東區文雅街168號,23.4833501,120.4847978,文雅里
透天厝,嘉義市嘉義市保愛二街31~60號,600台灣嘉義市東區保愛二街36-82號,23.5019405,120.4541102,後湖里
住宅大樓(含車位),嘉義市嘉義市博東路151~180號,600台灣嘉義市東區博東路80-112號,23.4908563,120.4605339,太平里
住宅大樓,嘉義市嘉義市玉山路158巷91~120號,600台灣嘉義市西區玉山路104號,23.4726976,120.4290426,磚磘里
透天厝,嘉義市嘉義市博愛路二段991~1020號,600台灣嘉義市西區博愛路二段996號,23.4619997,120.4221009,劉厝里
住宅大樓,嘉義市嘉義市博東路91~120號,600台灣嘉義市東區博東路24-80號,23.4905823,120.4615667,太平里
店面(店鋪),嘉義市嘉義市國華街331~360號,600台灣嘉義市西區國華街360號,23.4871003,120.4468778,北榮里
透天厝,嘉義市嘉義市國華新村1~30號,600台灣嘉義市西區國華新村37號,23.4939621,120.4432989,湖邊里
透天厝,嘉義市嘉義市信義路55巷1~30號,600台灣嘉義市西區信義路49-1號,23.4743187,120.4343596,西平里
公寓,嘉義市嘉義市民生南路608巷151~180號,600台灣嘉義市西區民生南路608巷180號,23.4576694,120.4408412,獅子里
透天厝,嘉義市嘉義市興安街145巷1~30號,600台灣嘉義市西區興安街8號,23.462372,120.4489,美源里
華廈(含車位),嘉義市嘉義市大雅路二段421~450號,600台灣嘉義市東區大雅路二段421號,23.4773156,120.4734091,長竹里
