年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street
10403(實價),透天厝,嘉義市嘉義市芳安路416巷1~30號,45.2,6房/2廳/3衛,1 /共2層,29.17,20.34,--,#NAME?,8.9萬,261萬,600台灣嘉義市東區芳安路1號,23.4688333,120.4654,芳草里
10403(實價),住宅大樓,嘉義市嘉義市八德路121~150號,21.1,3房/2廳/2衛,9 /共12層,34.19,4.35,--,#NAME?,8.9萬,303萬,600台灣嘉義市西區八德路117-127號,23.4858281,120.4305602,保福里
10403(實價),套房,嘉義市嘉義市吳鳳南路547巷1~30號,24.3,1房/1廳/1衛,1 /共7層,8.46,1.55,--,#NAME?,8.9萬,75萬,600台灣嘉義市東區吳鳳南路547巷3號,23.4606688,120.4577884,安寮里
10403(實價),住宅大樓,嘉義市嘉義市德惠街31~60號,20.8,3房/2廳/2衛,8 /共12層,38.77,3.21,--,#NAME?,8.9萬,346萬,600台灣嘉義市西區德惠街32-34號,23.4837156,120.432457,竹圍里
10403(實價),華廈,嘉義市嘉義市嘉北街97巷18弄1~30號,22.3,4房/2廳/2衛,2 /共7層,42.91,8.07,--,#NAME?,8.9萬,380萬,600台灣嘉義市東區嘉北街30號,23.4938508,120.4556015,仁義里
10403(實價),住宅大樓,嘉義市嘉義市世賢路一段631~660號,20.7,3房/2廳/2衛,12 /共12層,42.72,3.85,--,#NAME?,8.9萬,380萬,600台灣嘉義市西區世賢路一段630號,23.4931556,120.4301178,保安里
10403(實價),住宅大樓(含車位),嘉義市嘉義市德明路151~180號,20.8,3房/2廳/2衛,4 /共12層,37.15,3.06,--,#NAME?,8.9萬,330萬,600台灣嘉義市西區德明路151號,23.483611,120.4316578,竹圍里
10403(實價),住宅大樓,嘉義市嘉義市德明路37巷1~30號,20.3,3房/2廳/3衛,1 /共11層,65.09,9.83,--,#NAME?,8萬,520萬,600台灣嘉義市西區德明路37巷6號,23.481103,120.4315733,福全里
10403(實價),住宅大樓(含車位),嘉義市嘉義市博東路91~120號,17,4房/2廳/2衛,11 /共22層,53.86,5.6,--,#NAME?,8萬,430萬,600台灣嘉義市東區博東路24-80號,23.4905823,120.4615667,太平里
10403(實價),住宅大樓,嘉義市嘉義市博東路1~30號,20.8,1房/1廳/1衛,11 /共12層,19.7,3.03,--,#NAME?,9.1萬,180萬,600台灣嘉義市東區博東路1號,23.4902251,120.4560186,仁義里
10403(實價),華廈(含車位),嘉義市嘉義市崇文街121~150號,24.2,5房/3廳/4衛,6 /共6層,121.63,25.56,--,#NAME?,9.1萬,1108萬,600台灣嘉義市東區崇文街121號,23.4721348,120.4531575,豐年里
10403(實價),住宅大樓,嘉義市嘉義市彌陀路121~150號,19,2房/1廳/1衛,9 /共20層,18.7,1.48,--,#NAME?,9.1萬,170萬,600台灣嘉義市東區彌陀路121號,23.4666592,120.4667133,芳草里
10403(實價),住宅大樓,嘉義市嘉義市玉山路158巷91~120號,19.7,3房/2廳/2衛,9 /共12層,36.31,4.94,--,#NAME?,9.1萬,330萬,600台灣嘉義市西區玉山路104號,23.4726976,120.4290426,磚?里
10403(實價),華廈,嘉義市嘉義市盧厝91~120號,24.9,3房/2廳/2衛,5 /共7層,36.85,7.64,--,#NAME?,9.1萬,336萬,600台灣嘉義市西區民生南路120巷1號,23.469895,120.4465293,致遠里
10403(實價),住宅大樓,嘉義市嘉義市德明路61~90號,19.6,3房/2廳/2衛,7 /共19層,36.07,2.89,--,#NAME?,9.1萬,328萬,600台灣嘉義市西區德明路90號,23.4814836,120.4320387,福全里
10403(實價),住宅大樓(含車位),嘉義市嘉義市興達路691~720號,20.3,3房/2廳/2衛,7 /共14層,38.11,4.57,--,#NAME?,9.1萬,348萬,600台灣嘉義市西區興達路720號,23.484763,120.4253362,福安里
10403(實價),透天厝,嘉義市嘉義市林森東路269巷80弄31~60號,12.5,4房/2廳/3衛,1 /共3層,47.77,25.25,--,#NAME?,9.2萬,438萬,600台灣嘉義市東區林森東路60號,23.4867484,120.4566382,林森里
10403(實價),華廈,嘉義市嘉義市嘉北街97巷1~30號,23.3,3房/2廳/1衛,3 /共7層,28.65,4.59,--,#NAME?,9.2萬,265萬,600台灣嘉義市東區嘉北街30號,23.4938508,120.4556015,仁義里
10403(實價),住宅大樓(含車位),嘉義市嘉義市永安街331~360號,10.4,3房/2廳/2衛,7 /共12層,56.66,9.98,--,#NAME?,9.2萬,520萬,600台灣嘉義市西區永安街331號,23.4703467,120.4464733,導明里
10403(實價),華廈,嘉義市嘉義市北港路241~270號,20.8,3房/2廳/2衛,9 /共10層,36.71,5.69,--,#NAME?,9.3萬,341萬,600台灣嘉義市西區北港路244號,23.4781834,120.433642,福全里
10403(實價),住宅大樓(含車位),嘉義市嘉義市博東路1~30號,20.8,3房/1廳/2衛,5 /共12層,38.92,5.45,--,#NAME?,9.3萬,360萬,600台灣嘉義市東區博東路1號,23.4902251,120.4560186,仁義里
10403(實價),透天厝,嘉義市嘉義市後庄里11鄰林森東路319巷1~30號,32.8,4房/2廳/2衛,1 /共3層,56.61,23.29,--,#NAME?,9.4萬,530萬,600台灣嘉義市東區林森東路319巷1號,23.4916323,120.4691315,後庄里
10403(實價),華廈,嘉義市嘉義市民樂街61~90號,21.2,3房/2廳/2衛,6 /共7層,35.23,5.22,--,#NAME?,9.4萬,330萬,600台灣嘉義市東區民樂街61號,23.4812002,120.4583705,東興里
10403(實價),住宅大樓,嘉義市嘉義市友愛路481~510號,15.3,3房/2廳/2衛,8 /共12層,32.81,3.75,--,#NAME?,9.4萬,310萬,600台灣嘉義市西區友愛路510號,23.4886401,120.4349389,保安里
10403(實價),華廈,嘉義市嘉義市康樂街211~240號,23.2,2房/2廳/1衛,5 /共6層,23.4,4,--,#NAME?,9.4萬,220萬,600台灣嘉義市西區康樂街211號,23.4744416,120.4437666,新富里
10403(實價),華廈,嘉義市嘉義市國揚四街1~30號,22,3房/2廳/2衛,6 /共6層,40.57,8.05,--,#NAME?,9.4萬,380萬,600台灣嘉義市西區國揚一街101號,23.4868788,120.4263032,福安里
10403(實價),住宅大樓,嘉義市嘉義市興達路541~570號,20.9,3房/2廳/2衛,9 /共12層,34.67,4.17,--,#NAME?,9.5萬,328萬,600台灣嘉義市西區興達路543號,23.4849038,120.4292597,保福里
10403(實價),住宅大樓,嘉義市嘉義市永安街331~360號,10.4,3房/2廳/2衛,2 /共12層,56.66,9.98,--,#NAME?,9.5萬,536萬,600台灣嘉義市西區永安街331號,23.4703467,120.4464733,導明里
10403(實價),住宅大樓(含車位),嘉義市嘉義市世賢路三段151~180號,21.4,4房/2廳/2衛,9 /共12層,36.4,3.71,--,#NAME?,9.6萬,350萬,600台灣嘉義市西區世賢路三段151號,23.463308,120.4308058,福民里
10403(實價),套房,嘉義市嘉義市蘭井街151~180號,24.2,1房/1廳/1衛,1 /共6層,9.12,1.37,--,#NAME?,9.6萬,88萬,600台灣嘉義市東區蘭井街155號,23.4775913,120.4516521,中央里
10403(實價),華廈,嘉義市嘉義市林森東路211巷1~30號,25.2,4房/2廳/2衛,3 /共7層,46.52,10.11,--,#NAME?,9.7萬,450萬,600台灣嘉義市東區林森東路269巷1弄30號,23.4901012,120.4654374,新店里
10403(實價),店面(店鋪),嘉義市嘉義市杭州四街91~120號,26.2,2房/2廳/2衛,1 /共7層,31.85,8.11,--,#NAME?,9.7萬,310萬,600台灣嘉義市西區杭州四街98號,23.467645,120.4452009,美源里
10403(實價),住宅大樓(含車位),嘉義市嘉義市志昇街1~30號,10.3,3房/2廳/2衛,9 /共14層,55.55,11.43,--,#NAME?,9.7萬,540萬,600台灣嘉義市西區仁愛路159巷22號,23.4689729,120.4422175,自強里
10403(實價),華廈,嘉義市嘉義市世賢路四段456巷1~30號,18.5,3房/2廳/2衛,1 /共7層,38.64,7.34,--,#NAME?,9.7萬,375萬,600台灣嘉義市西區世賢路四段350巷27弄1號,23.462494,120.4502358,美源里
10403(實價),華廈(含車位),嘉義市嘉義市友孝路31~60號,20.6,3房/2廳/2衛,2 /共7層,37.68,6.66,--,#NAME?,9.7萬,365萬,600台灣嘉義市西區友孝路60號,23.4809912,120.4356495,竹圍里
10403(實價),華廈(含車位),嘉義市嘉義市雙竹街1~30號,21.3,3房/2廳/1衛,6 /共7層,40.02,7.6,--,#NAME?,9.7萬,390萬,600台灣嘉義市西區雙竹街12-48號,23.4849945,120.4388116,竹圍里
10403(實價),住宅大樓,嘉義市嘉義市友孝路271~300號,15.3,3房/2廳/2衛,10 /共12層,33.6,4.03,--,#NAME?,9.8萬,330萬,600台灣嘉義市西區友孝路300號,23.4879919,120.4353601,保安里
10403(實價),住宅大樓,嘉義市嘉義市自由路481~510號,20.8,2房/1廳/1衛,12 /共16層,28.15,2.32,--,#NAME?,9.8萬,275萬,600台灣嘉義市西區自由路510號,23.4930581,120.4317377,保生里
10403(實價),住宅大樓,嘉義市嘉義市八德路301~330號,20.3,3房/2廳/2衛,10 /共16層,34.58,3.74,--,#NAME?,9萬,310萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里
10403(實價),住宅大樓,嘉義市嘉義市博東路151~180號,17,3房/2廳/2衛,1 /共22層,44.63,5.6,--,#NAME?,9萬,400萬,600台灣嘉義市東區博東路80-112號,23.4908563,120.4605339,太平里
10403(實價),住宅大樓,嘉義市嘉義市志昇街1~30號,10.3,3房/2廳/2衛,13 /共14層,55.55,11.43,--,#NAME?,9萬,500萬,600台灣嘉義市西區仁愛路159巷22號,23.4689729,120.4422175,自強里
10403(實價),住宅大樓,嘉義市嘉義市玉山路240巷1~30號,20.7,2房/1廳/1衛,6 /共12層,19.93,1.72,--,#NAME?,9萬,180萬,600台灣嘉義市西區玉山路1號,23.473261,120.4319371,磚瑤里
10403(實價),華廈,嘉義市嘉義市永福三街1~30號,22.3,3房/1廳/2衛,2 /共7層,27.68,6.48,--,#NAME?,9萬,250萬,600台灣嘉義市西區永福三街30號,23.4736996,120.4249398,磚?里
10404(實價),透天厝,嘉義市嘉義市大富三街91~120號,8.3,4房/2廳/5衛,1 /共4層,68.78,27.84,--,#NAME?,10.2萬,700萬,600台灣嘉義市西區大富三街68號,23.4636676,120.4138706,劉厝里
10404(實價),住宅大樓(含車位),嘉義市嘉義市臺斗街31~60號,15.8,3房/2廳/2衛,8 /共12層,38.16,6.27,--,#NAME?,10.2萬,390萬,600台灣嘉義市東區台斗街31號,23.4909592,120.4514337,中庄里
10404(實價),華廈,嘉義市嘉義市和平路271~300號,19.9,0房/0廳/1衛,3 /共9層,11.76,1.38,--,#NAME?,10.2萬,120萬,600台灣嘉義市東區和平路269號,23.4800056,120.4567169,華南里
10404(實價),住宅大樓,嘉義市嘉義市新生路571~600號,19.6,2房/2廳/2衛,5 /共12層,29.94,4.03,--,#NAME?,10.2萬,305萬,600台灣嘉義市東區新生路564-568號,23.4920074,120.4581246,太平里
10404(實價),華廈,嘉義市嘉義市南京路20巷31~60號,20.1,3房/2廳/2衛,5 /共10層,37.01,6.56,--,#NAME?,10.3萬,380萬,600台灣嘉義市西區南京路20巷19-57號,23.4566788,120.4425104,獅子里
10404(實價),透天厝,嘉義市嘉義市吳鳳南路188巷1~30號,39.7,2房/1廳/1衛,1 /共2層,23.13,16.03,--,#NAME?,10.3萬,238萬,600台灣嘉義市東區吳鳳南路30號,23.4712666,120.4539625,豐年里
10404(實價),透天厝,嘉義市嘉義市藝術新?31~60號,24.5,3房/3廳/2衛,1 /共4層,67.53,42.05,--,#NAME?,10.4萬,700萬,600台灣嘉義市西區合江街197號,23.492233,120.4389275,新厝里
10404(實價),套房,嘉義市嘉義市廣州街91~120號,24.4,1房/1廳/1衛,6 /共7層,11.02,2.14,--,#NAME?,10.4萬,115萬,600台灣嘉義市西區廣州街120號,23.4627158,120.4331098,福民里
10404(實價),住宅大樓(含車位),嘉義市嘉義市興達路592巷1~30號,21.8,3房/2廳/2衛,10 /共12層,33.57,4.15,--,#NAME?,10.4萬,350萬,600台灣嘉義市西區興達路1號,23.4891942,120.4455982,湖邊里
10404(實價),住宅大樓,嘉義市嘉義市安樂街61~90號,15.3,3房/2廳/2衛,9 /共12層,44,6.75,--,#NAME?,10.4萬,456萬,600台灣嘉義市東區安樂街60-62號,23.4831185,120.4612216,中山里
10404(實價),套房,嘉義市嘉義市中興路31~60號,26.6,1房/1廳/1衛,6 /共10層,11.43,1.03,--,#NAME?,10.5萬,120萬,600台灣嘉義市西區中興路21號,23.4803298,120.4392574,後驛里
10404(實價),住宅大樓(含車位),嘉義市嘉義市新建街8巷1~30號,24.1,4房/2廳/2衛,6 /共11層,44.37,7.35,--,#NAME?,10.8萬,480萬,600台灣嘉義市西區新建街30號,23.4692478,120.4385538,垂楊里
10404(實價),住宅大樓,嘉義市嘉義市民生南路55巷1~30號,18,3房/2廳/2衛,8 /共12層,38.42,4.63,--,#NAME?,10.9萬,420萬,600台灣嘉義市西區民生南路850巷1弄30號,23.4545835,120.4393273,湖內里
10404(實價),華廈,嘉義市嘉義市國聖四街31~60號,17.8,3房/2廳/2衛,5 /共9層,39.29,6.71,--,#NAME?,10.9萬,430萬,600台灣嘉義市西區國聖四街30號,23.4862529,120.4294016,保福里
10404(實價),套房,嘉義市嘉義市蘭井街301~330號,19.9,1房/1廳/1衛,6 /共12層,14.43,1.28,--,#NAME?,10萬,145萬,600台灣嘉義市西區蘭井街330號,23.4769852,120.4435899,書院里
10404(實價),透天厝,嘉義市嘉義市興仁街10巷1~30號,22.4,4房/2廳/3衛,1 /共4層,45.25,21.78,--,#NAME?,11.1萬,502萬,600台灣嘉義市東區興仁街10巷30號,23.4571039,120.4641799,興仁里
