鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
水上鄉,房地(土地+建物),嘉義縣水上鄉水上村華林街18巷1~30號,87.54,住,,,1060327,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,187.38,4,2,3,有,無,6980000,37251,,0.0,0,,RPSNMLQLMHMFFDQ17CA
水上鄉,房地(土地+建物),嘉義縣水上鄉水上村華林街30巷1~30號,135.48,住,,,1060327,土地5建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,194.41,4,2,4,有,無,8100000,41665,,0.0,0,,RPTNMLQLMHMFFDQ27CA
水上鄉,房地(土地+建物),嘉義縣水上鄉水上村華林街30巷1~30號,154.63,住,,,1060327,土地5建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,212.94,4,2,4,有,無,8700000,40857,,0.0,0,,RPUNMLQLMHMFFDQ37CA
太保市,土地,嘉新段391~420地號,331.48,住,,,1060313,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,18101,,0.0,0,,RPQNMLMKMHMFFDQ09CA
太保市,土地,嘉新段391~420地號,191.74,住,,,1060313,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2216000,11557,,0.0,0,,RPRNMLMKMHMFFDQ56CA
水上鄉,房地(土地+建物),嘉義縣水上鄉寬士村4鄰崎子頭1~30號,83.53,,鄉村區,乙種建築用地,1060323,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0661229,50.0,2,1,1,有,無,1800000,36000,,0.0,0,,RPSOMLNKMHMFFDQ86CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉秀林村林子尾61~90號,100.38,,一般農業區,甲種建築用地,1060306,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0701104,115.15,3,2,2,有,無,1399000,12149,,0.0,0,,RPTNMLKKMHMFFCQ09CA
義竹鄉,土地,六桂段61~90地號,191.95,商,,,1060317,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5516080,28737,,0.0,0,,RPQNMLKKMHMFFBQ68CA
布袋鎮,土地,貴舍段481~510地號,144.81,,鄉村區,乙種建築用地,1060320,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,217200,1500,,0.0,0,,RPTNMLLKMHMFFBQ09CA
朴子市,房地(土地+建物),嘉義縣朴子市仁和二路121~150號,7.6,住,,,1060329,土地1建物1車位0,二層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.23,1,1,1,有,有,590000,18892,,0.0,0,,RPPNMLMKMHMFFBQ78CA
